x,y,z,Mx,My,Mz
-1.771864,-1.629198,-18.586575,0.322803,-0.11568,-0.01101
-1.661863,-3.389198,-18.806576,0.302803,-0.10368,-0.00801
-1.531864,-3.659199,-17.506573,0.280803,-0.19468,-0.01001
-0.811863,-3.619199,-17.036572,0.283803,-0.21468,-0.01001
-1.711863,-2.499199,-19.286572,0.263803,-0.12368,-0.00601
-2.521864,-0.799198,-20.766575,0.246803,-0.13868,-0.00401
-1.981863,-1.519198,-20.256573,0.303803,-0.05268,-0.01001
-2.951864,-1.939198,-19.096577,0.251803,-0.07968,-0.00701
-3.101864,-1.579199,-20.676571,0.263803,-0.08168,0.00099
-2.801863,-1.079199,-20.486576,0.258803,-0.10468,-0.00101
-2.271864,-1.129198,-17.346577,0.400803,-0.20768,-0.00701
-1.451864,-1.349198,-16.926571,0.437803,-0.20868,-0.00601
-2.271864,-0.819199,-19.936573,0.294803,-0.13668,-0.00201
-2.561863,-1.179198,-19.226574,0.245803,-0.15468,-0.00101
-2.441864,-1.479198,-19.156574,0.234803,-0.12468,-0.00201
-2.221863,-0.359199,-20.196575,0.272803,-0.10568,-0.00601
-2.341864,-0.249198,-20.296574,0.258803,-0.08668,-0.00601
-2.271864,-0.499198,-19.846577,0.231803,-0.10868,-0.00201
-1.951864,-0.909199,-17.436573,0.287803,-0.14968,-0.01001
-1.891863,-0.789199,-16.876575,0.305803,-0.14968,-0.01301
-2.171864,-0.229198,-20.056576,0.267803,-0.11468,-0.00301
-1.911863,-0.019198,-19.406574,0.265803,-0.12268,-0.00501
-1.721863,-0.439198,-17.706577,0.289803,-0.12568,-0.00901
-1.911863,-0.199199,-16.976574,0.283803,-0.13768,-0.01301
-1.711863,-0.139198,-16.666576,0.345803,-0.16568,-0.00901
-1.681864,-0.089199,-15.876575,0.313803,-0.20868,-0.00501
-1.871862,-0.219199,-15.606571,0.303803,-0.14368,-0.00801
-0.991863,0.550801,-15.146572,0.330803,-0.14368,-0.01201
-1.921864,1.320802,-15.616573,0.227803,-0.12768,-0.00701
-0.471863,0.120801,-14.546574,0.218803,-0.13168,-0.01401
-2.351864,1.220801,-14.766575,-0.010197,-0.09268,-0.00901
-0.611864,0.610802,-16.236576,0.004803,-0.06568,-0.01201
-1.571863,1.150802,-14.486576,-0.108197,-0.08268,-0.01401
-0.671864,0.950801,-15.046574,-0.163197,-0.13168,-0.01201
-0.271864,0.450801,-14.606571,-0.170197,-0.11168,-0.01201
-1.401863,-0.029199,-14.496571,-0.166197,-0.07568,-0.01001
-2.121862,1.170802,-13.926571,-0.065197,-0.12468,-0.00501
-1.561863,1.720801,-13.546574,-0.065197,-0.16368,-0.00401
-1.881863,1.760801,-14.226574,-0.100197,-0.08168,-0.00501
-2.101864,2.580801,-13.786572,-0.162197,-0.13868,-0.00601
-2.531864,2.810802,-14.176571,-0.202197,-0.08568,-0.00401
-1.621862,3.090802,-13.956577,-0.220197,-0.11168,-0.00301
-2.091864,3.580801,-13.166576,-0.285197,-0.14168,-0.00201
-0.791862,2.190802,-13.776577,-0.327197,-0.17068,-0.00401
-1.051863,2.620801,-13.536572,-0.365197,-0.24468,-0.00301
-1.201864,0.890801,-13.626575,-0.360197,-0.20768,-1e-05
-2.521864,1.770802,-14.81657,-0.479197,-0.20868,0.00699
-2.571863,0.850801,-14.526577,-0.542197,-0.23968,0.00699
-2.681864,0.700801,-13.676571,-0.524197,-0.20668,0.00999
-2.581863,1.870801,-13.526577,-0.568197,-0.26968,0.01199
-2.611864,2.190802,-10.836575,-0.474197,-0.30168,0.00599
-2.241863,3.240801,-11.266575,-0.427197,-0.29368,0.00499
-3.061863,4.660801,-9.56657,-0.373197,-0.31068,0.01599
-2.261864,5.150802,-11.086575,-0.359197,-0.32168,0.01799
-2.311863,5.020802,-10.546574,-0.401197,-0.30068,0.01199
-2.651863,4.130801,-10.836575,-0.451197,-0.31468,0.01599
-3.171864,4.430801,-10.886578,-0.505197,-0.33868,0.02599
-2.071863,2.570802,-8.786572,-0.519197,-0.33968,0.02299
-2.571863,2.470801,-11.406574,-0.676197,-0.37368,0.01699
-2.511864,2.490801,-9.936573,-0.726197,-0.41568,0.01499
-2.391863,2.350801,-10.476574,-0.671197,-0.33668,0.01699
-2.551863,3.540802,-9.766575,-0.627197,-0.31668,0.01999
-3.131863,3.830801,-8.846577,-0.696197,-0.28468,0.01799
-1.921864,3.710802,-10.296574,-0.656197,-0.24568,0.01699
-2.591864,4.100801,-11.386578,-0.796197,-0.16868,0.01999
-2.531864,5.250802,-13.556576,-0.829197,-0.18068,0.02299
-2.101864,4.700802,-10.116573,-0.770197,-0.18768,0.01299
-1.581863,5.090801,-9.886578,-0.723197,-0.16868,0.01099
-2.131863,5.780802,-12.746571,-0.794197,-0.13068,0.01699
-1.641863,5.330801,-11.476574,-0.799197,-0.12968,0.01599
-2.441864,6.080801,-14.866573,-0.899197,-0.07468,0.02699
-2.111864,6.160801,-14.046574,-0.873197,-0.04868,0.02699
-2.321863,6.290802,-15.426571,-0.953197,-0.05468,0.03599
-2.021864,5.880802,-15.166576,-0.948197,-0.04068,0.03499
-1.141863,4.620801,-14.096577,-0.944197,-0.01568,0.03799
-1.391863,5.040802,-14.016575,-0.946197,-0.01968,0.04099
-1.821863,5.590801,-14.306576,-0.987197,-0.03768,0.04799
-1.111864,5.390801,-16.246571,-0.927197,0.02332,0.04499
-0.581863,4.810802,-13.016575,-0.892197,-0.04268,0.03599
-1.051863,4.900802,-13.526577,-0.886197,-0.03868,0.03699
-0.951864,4.770802,-12.586575,-0.860197,-0.03668,0.03399
-1.161863,4.680801,-13.426571,-0.832197,-0.00368,0.03599
-1.381863,5.090801,-12.906574,-0.785197,-0.01368,0.03199
-1.271864,4.970801,-14.106571,-0.775197,-0.00268,0.03199
-1.771864,5.360802,-12.936573,-0.806197,-0.02568,0.03199
-1.361864,5.450801,-12.696575,-0.779197,-0.00768,0.03299
-1.501863,5.670802,-12.896572,-0.784197,-0.01168,0.03199
-1.491863,6.130802,-12.966572,-0.761197,0.00432,0.03199
